1--CompilationUnit,11--Import
11--Import,11358--java.io
11--Import,1161091--bool
1--CompilationUnit,12--Import
12--Import,1268023--java.lang
12--Import,1260139--bool
1--CompilationUnit,13--Import
13--Import,1385634--java.util
13--Import,1312319--bool
1--CompilationUnit,14--ClassDeclaration
14--ClassDeclaration,1496814--ON_22
14--ClassDeclaration,1454408--MethodDeclaration
1454408--MethodDeclaration,145440874658--set
145440874658--set,14544087465858688--static
1454408--MethodDeclaration,145440834413--BasicType
145440834413--BasicType,14544083441391201--int
1454408--MethodDeclaration,145440881641--findMin
1454408--MethodDeclaration,145440814091--FormalParameter
145440814091--FormalParameter,14544081409117965--BasicType
14544081409117965--BasicType,1454408140911796538776--int
145440814091--FormalParameter,14544081409127500--arr
1454408--MethodDeclaration,145440852306--FormalParameter
145440852306--FormalParameter,14544085230687624--BasicType
14544085230687624--BasicType,1454408523068762468504--int
145440852306--FormalParameter,14544085230645277--low
1454408--MethodDeclaration,145440872146--FormalParameter
145440872146--FormalParameter,14544087214666296--BasicType
14544087214666296--BasicType,1454408721466629638709--int
145440872146--FormalParameter,14544087214660442--high
1454408--MethodDeclaration,145440856609--IfStatement
145440856609--IfStatement,14544085660949078--BinaryOperation
14544085660949078--BinaryOperation,1454408566094907820550--<
14544085660949078--BinaryOperation,1454408566094907884556--MemberReference
1454408566094907884556--MemberReference,1454408566094907884556424--high
14544085660949078--BinaryOperation,1454408566094907896514--MemberReference
1454408566094907896514--MemberReference,145440856609490789651494056--low
145440856609--IfStatement,14544085660968791--ReturnStatement
14544085660968791--ReturnStatement,1454408566096879122146--MemberReference
1454408566096879122146--MemberReference,145440856609687912214646030--ArraySelector
145440856609687912214646030--ArraySelector,14544085660968791221464603039645--Literal
14544085660968791221464603039645--Literal,1454408566096879122146460303964536308--0
1454408566096879122146--MemberReference,145440856609687912214625813--arr
1454408--MethodDeclaration,145440872643--IfStatement
145440872643--IfStatement,14544087264391659--BinaryOperation
14544087264391659--BinaryOperation,1454408726439165937324--==
14544087264391659--BinaryOperation,1454408726439165999433--MemberReference
1454408726439165999433--MemberReference,145440872643916599943386600--high
14544087264391659--BinaryOperation,1454408726439165913923--MemberReference
1454408726439165913923--MemberReference,145440872643916591392396031--low
145440872643--IfStatement,14544087264356213--ReturnStatement
14544087264356213--ReturnStatement,1454408726435621373437--MemberReference
1454408726435621373437--MemberReference,145440872643562137343793337--ArraySelector
145440872643562137343793337--ArraySelector,1454408726435621373437933374945--MemberReference
1454408726435621373437933374945--MemberReference,145440872643562137343793337494541719--low
1454408726435621373437--MemberReference,145440872643562137343778940--arr
1454408--MethodDeclaration,145440859625--LocalVariableDeclaration
145440859625--LocalVariableDeclaration,14544085962532057--BasicType
14544085962532057--BasicType,1454408596253205720940--int
145440859625--LocalVariableDeclaration,14544085962528039--VariableDeclarator
14544085962528039--VariableDeclarator,145440859625280393347--mid
14544085962528039--VariableDeclarator,1454408596252803993810--BinaryOperation
1454408596252803993810--BinaryOperation,145440859625280399381024650--+
1454408596252803993810--BinaryOperation,145440859625280399381095686--MemberReference
145440859625280399381095686--MemberReference,14544085962528039938109568682467--low
