1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1197103--ON_5
11--ClassDeclaration,1120213--MethodDeclaration
1120213--MethodDeclaration,112021314066--set
112021314066--set,11202131406676243--public
112021314066--set,11202131406677977--static
1120213--MethodDeclaration,112021324473--main
1120213--MethodDeclaration,112021355525--FormalParameter
112021355525--FormalParameter,11202135552589777--ReferenceType
11202135552589777--ReferenceType,112021355525897776168--String
112021355525--FormalParameter,11202135552598560--args
1120213--MethodDeclaration,112021387141--LocalVariableDeclaration
112021387141--LocalVariableDeclaration,11202138714165554--BasicType
11202138714165554--BasicType,1120213871416555458282--int
112021387141--LocalVariableDeclaration,11202138714118916--VariableDeclarator
11202138714118916--VariableDeclarator,1120213871411891685486--arr
1120213--MethodDeclaration,112021355041--StatementExpression
112021355041--StatementExpression,11202135504112487--Assignment
11202135504112487--Assignment,1120213550411248719660--MemberReference
1120213550411248719660--MemberReference,112021355041124871966046618--arr
11202135504112487--Assignment,1120213550411248723708--ArrayCreator
1120213550411248723708--ArrayCreator,112021355041124872370818232--BasicType
112021355041124872370818232--BasicType,1120213550411248723708182324653--int
1120213550411248723708--ArrayCreator,112021355041124872370880523--Literal
112021355041124872370880523--Literal,11202135504112487237088052375513--5
11202135504112487--Assignment,1120213550411248739310--=
1120213--MethodDeclaration,112021347594--StatementExpression
112021347594--StatementExpression,11202134759494269--Assignment
11202134759494269--Assignment,1120213475949426954776--MemberReference
1120213475949426954776--MemberReference,112021347594942695477671270--ArraySelector
112021347594942695477671270--ArraySelector,11202134759494269547767127059145--Literal
11202134759494269547767127059145--Literal,1120213475949426954776712705914592741--0
1120213475949426954776--MemberReference,112021347594942695477647828--arr
11202134759494269--Assignment,1120213475949426969572--Literal
1120213475949426969572--Literal,112021347594942696957226963--10
11202134759494269--Assignment,1120213475949426944344--=
1120213--MethodDeclaration,112021328789--StatementExpression
112021328789--StatementExpression,11202132878914629--Assignment
11202132878914629--Assignment,1120213287891462943965--MemberReference
1120213287891462943965--MemberReference,112021328789146294396580463--ArraySelector
112021328789146294396580463--ArraySelector,11202132878914629439658046345341--Literal
11202132878914629439658046345341--Literal,1120213287891462943965804634534114892--1
1120213287891462943965--MemberReference,112021328789146294396525157--arr
11202132878914629--Assignment,1120213287891462937169--Literal
1120213287891462937169--Literal,112021328789146293716921874--20
11202132878914629--Assignment,1120213287891462982624--=
1120213--MethodDeclaration,11202138616--StatementExpression
11202138616--StatementExpression,112021386164750--Assignment
112021386164750--Assignment,11202138616475083748--MemberReference
11202138616475083748--MemberReference,1120213861647508374837427--ArraySelector
1120213861647508374837427--ArraySelector,112021386164750837483742780138--Literal
112021386164750837483742780138--Literal,11202138616475083748374278013845026--2
11202138616475083748--MemberReference,1120213861647508374867338--arr
112021386164750--Assignment,11202138616475091517--Literal
11202138616475091517--Literal,1120213861647509151751005--30
112021386164750--Assignment,11202138616475078423--=
1120213--MethodDeclaration,112021386211--StatementExpression
112021386211--StatementExpression,11202138621183804--Assignment
11202138621183804--Assignment,1120213862118380443847--MemberReference
1120213862118380443847--MemberReference,112021386211838044384787111--ArraySelector
112021386211838044384787111--ArraySelector,11202138621183804438478711171354--Literal
11202138621183804438478711171354--Literal,1120213862118380443847871117135499651--3
1120213862118380443847--MemberReference,112021386211838044384748639--arr
11202138621183804--Assignment,1120213862118380412921--Literal
1120213862118380412921--Literal,112021386211838041292151609--40
11202138621183804--Assignment,1120213862118380454881--=
1120213--MethodDeclaration,112021329465--StatementExpression
112021329465--StatementExpression,11202132946584360--Assignment
11202132946584360--Assignment,1120213294658436079816--MemberReference
1120213294658436079816--MemberReference,112021329465843607981696640--ArraySelector
112021329465843607981696640--ArraySelector,11202132946584360798169664079589--Literal
11202132946584360798169664079589--Literal,1120213294658436079816966407958936498--4
1120213294658436079816--MemberReference,112021329465843607981691579--arr
11202132946584360--Assignment,1120213294658436090278--Literal
1120213294658436090278--Literal,112021329465843609027870872--50
11202132946584360--Assignment,1120213294658436059647--=
1120213--MethodDeclaration,112021357236--ForStatement
112021357236--ForStatement,11202135723694590--ForControl
11202135723694590--ForControl,112021357236945906724--VariableDeclaration
112021357236945906724--VariableDeclaration,11202135723694590672431923--BasicType
11202135723694590672431923--BasicType,1120213572369459067243192396181--int
112021357236945906724--VariableDeclaration,11202135723694590672420142--VariableDeclarator
11202135723694590672420142--VariableDeclarator,1120213572369459067242014221857--i
11202135723694590672420142--VariableDeclarator,1120213572369459067242014281590--Literal
1120213572369459067242014281590--Literal,112021357236945906724201428159071923--0
11202135723694590--ForControl,1120213572369459037590--BinaryOperation
1120213572369459037590--BinaryOperation,112021357236945903759040531--<
1120213572369459037590--BinaryOperation,112021357236945903759099623--MemberReference
112021357236945903759099623--MemberReference,11202135723694590375909962377448--i
1120213572369459037590--BinaryOperation,112021357236945903759041521--MemberReference
112021357236945903759041521--MemberReference,1120213572369459037590415212578--arr
112021357236945903759041521--MemberReference,11202135723694590375904152118167--length
11202135723694590--ForControl,1120213572369459082266--MemberReference
1120213572369459082266--MemberReference,11202135723694590822662897--++
1120213572369459082266--MemberReference,112021357236945908226699062--i
112021357236--ForStatement,1120213572367117--StatementExpression
1120213572367117--StatementExpression,112021357236711711957--MethodInvocation
112021357236711711957--MethodInvocation,1120213572367117119572601--System.out
112021357236711711957--MethodInvocation,1120213572367117119571744--BinaryOperation
1120213572367117119571744--BinaryOperation,112021357236711711957174478416--+
1120213572367117119571744--BinaryOperation,112021357236711711957174419027--BinaryOperation
112021357236711711957174419027--BinaryOperation,11202135723671171195717441902798160--+
112021357236711711957174419027--BinaryOperation,11202135723671171195717441902717396--BinaryOperation
11202135723671171195717441902717396--BinaryOperation,1120213572367117119571744190271739670746--+
11202135723671171195717441902717396--BinaryOperation,1120213572367117119571744190271739643753--Literal
1120213572367117119571744190271739643753--Literal,112021357236711711957174419027173964375320947--"Element at index "
11202135723671171195717441902717396--BinaryOperation,1120213572367117119571744190271739626574--MemberReference
1120213572367117119571744190271739626574--MemberReference,112021357236711711957174419027173962657417205--i
112021357236711711957174419027--BinaryOperation,11202135723671171195717441902735196--Literal
11202135723671171195717441902735196--Literal,1120213572367117119571744190273519616179--" : "
1120213572367117119571744--BinaryOperation,11202135723671171195717449858--MemberReference
11202135723671171195717449858--MemberReference,1120213572367117119571744985827885--ArraySelector
1120213572367117119571744985827885--ArraySelector,11202135723671171195717449858278858330--MemberReference
11202135723671171195717449858278858330--MemberReference,1120213572367117119571744985827885833020381--i
11202135723671171195717449858--MemberReference,1120213572367117119571744985898881--arr
112021357236711711957--MethodInvocation,11202135723671171195725496--println
